lambda,test_mse
10,0.262562066
10,0.498670042
10,0.211215585
10,0.15633741
10,0.123652078
10,0.561945975
10,0.355204225
10,0.411742836
10,0.296287179
10,0.256988317
10,0.509007871
10,0.419745952
10,0.13816011
10,0.281378299
10,0.459120452
10,0.145744577
10,0.274325192
10,0.120606467
10,0.116059244
10,0.129891947
10,0.127187118
10,0.153661489
10,0.106791131
10,0.604605079
10,0.152548209
10,0.184859246
10,0.546349406
10,0.295720905
10,0.110475563
10,0.543278337
10,0.338735342
10,0.17772688
10,0.394566447
10,0.120025381
10,0.211955875
10,0.315540761
10,0.112739779
10,0.187733218
10,0.264741004
11,0.24587509
11,0.556945443
11,0.227341294
11,0.195964098
11,0.784442306
11,0.20547092
11,0.110644743
11,0.506829023
11,0.274522066
11,0.384947389
11,0.111722238
11,0.267684579
11,0.467252612
11,0.216575369
11,0.152978763
11,0.120095953
11,0.542189837
11,0.339695245
11,0.396641612
11,0.29548645
11,0.245297298
11,0.46166873
11,0.404385984
11,0.141428322
11,0.282740146
11,0.411589861
11,0.147202551
11,0.258691043
11,0.121141359
11,0.119628146
11,0.124891669
11,0.127830625
11,0.152821884
11,0.109206431
11,0.573268414
11,0.158693925
11,0.176594436
11,0.518910825
11,0.295622468
11,0.107987046
11,0.530860841
11,0.337136388
11,0.174663827
11,0.370780885
11,0.122199185
11,0.220287636
11,0.315129191
11,0.112447821
11,0.190781906
11,0.260390311
12,0.224305704
12,0.546478093
12,0.225769505
12,0.19741568
12,0.866795242
12,0.213050008
12,0.11771182
12,0.499861121
12,0.266442835
12,0.385356605
12,0.113312721
12,0.24646236
12,0.487616688
12,0.224572912
12,0.157276928
12,0.119985543
12,0.549666703
12,0.32898739
12,0.390892655
12,0.306741267
12,0.237686127
12,0.436478019
12,0.42679885
12,0.146277413
12,0.295681953
12,0.402204663
12,0.146115527
12,0.266955554
12,0.117863163
12,0.116629288
12,0.127369553
12,0.12952894
12,0.152233005
12,0.109664753
12,0.573563814
12,0.159861416
12,0.184418589
12,0.512310803
12,0.307805091
12,0.110856324
12,0.537075579
12,0.338564515
12,0.174187511
12,0.391272515
12,0.124144576
12,0.210136786
12,0.314188898
12,0.115697257
12,0.195444539
12,0.263974637
13,0.231775343
13,0.572886169
13,0.229588121
13,0.192687526
13,0.859542012
13,0.211586505
13,0.112119548
13,0.555253983
13,0.283128053
13,0.36777693
13,0.112737335
13,0.262062222
13,0.474453121
13,0.213256583
13,0.153480664
13,0.120626017
13,0.52578336
13,0.346051216
13,0.404874384
13,0.290255159
13,0.246556982
13,0.490039229
13,0.406005025
13,0.140823841
13,0.277642906
13,0.441967398
13,0.152017176
13,0.269360214
13,0.118295886
13,0.11758922
13,0.128965169
13,0.129383236
13,0.147438496
13,0.108968087
13,0.626206815
13,0.156839848
13,0.186794624
13,0.559566557
13,0.299143791
13,0.1127569
13,0.524346471
13,0.337947041
13,0.176558867
13,0.400381684
13,0.12366958
13,0.214252174
13,0.312731177
13,0.115020417
13,0.191230133
13,0.256390214
14,0.224847898
14,0.568290949
14,0.227074608
14,0.195589289
14,0.835685253
14,0.214271694
14,0.114408605
14,0.523112535
14,0.28659901
14,0.389435917
14,0.111711428
14,0.26713407
14,0.468233407
14,0.210647643
14,0.157245874
14,0.119547449
14,0.543028235
14,0.338808924
14,0.398639649
14,0.28063181
14,0.244429201
14,0.478616536
14,0.380186498
14,0.137863725
14,0.271044254
14,0.433146656
14,0.14909184
14,0.2627213
14,0.119026504
14,0.114809178
14,0.124608122
14,0.128758907
14,0.147531897
14,0.108256228
14,0.594385147
14,0.158138722
14,0.182505161
14,0.53794384
14,0.295674235
14,0.109314047
14,0.517902255
14,0.337684244
14,0.172185078
14,0.379439294
14,0.122589506
14,0.21110943
14,0.308978587
14,0.111286938
14,0.193003118
14,0.250721931
15,0.212318853
15,0.554968953
15,0.22443071
15,0.196628302
15,0.821403086
15,0.214626044
15,0.115609057
15,0.498526096
15,0.265666664
15,0.372247964
15,0.110703036
15,0.258030474
15,0.471402198
15,0.220280111
15,0.154626027
15,0.119311325
15,0.515793502
15,0.336707056
15,0.385939389
15,0.27519834
15,0.236051664
15,0.449381828
15,0.367936671
15,0.143386558
15,0.26997295
15,0.401641935
15,0.151054844
15,0.255473793
15,0.121998861
15,0.118163548
15,0.126734376
15,0.130670726
15,0.143080324
15,0.108683094
15,0.566483021
15,0.157173261
15,0.176024437
15,0.518878639
15,0.302419424
15,0.109921448
15,0.505869329
15,0.342152268
15,0.167754889
15,0.380959481
15,0.122393183
15,0.201164663
15,0.304413557
15,0.113892995
15,0.192818388
15,0.248946235
16,0.237752676
16,0.551509202
16,0.224050879
16,0.196511179
16,0.832983553
16,0.203482032
16,0.116360888
16,0.520223916
16,0.264683366
16,0.369835407
16,0.112340435
16,0.260647118
16,0.483735383
16,0.221187785
16,0.153774396
16,0.117902301
16,0.550654769
16,0.341049492
16,0.381170213
16,0.312126815
16,0.239849523
16,0.490871519
16,0.436979443
16,0.144366115
16,0.303591818
16,0.438630819
16,0.14571391
16,0.260898739
16,0.119292453
16,0.117701277
16,0.126491457
16,0.131015301
16,0.149631396
16,0.109052449
16,0.58566916
16,0.161710665
16,0.182534888
16,0.525127113
16,0.302933782
16,0.110170342
16,0.530272424
16,0.335420102
16,0.175161004
16,0.390143245
16,0.124149062
16,0.218639299
16,0.31432721
16,0.11329753
16,0.198816821
16,0.254353791
17,0.239243567
17,0.575257719
17,0.233533472
17,0.200175911
17,0.821657181
17,0.213758036
17,0.111334294
17,0.546407104
17,0.285034835
17,0.376504928
17,0.112507671
17,0.272486061
17,0.48013854
17,0.2094111
17,0.15249145
17,0.118920393
17,0.537823558
17,0.34281987
17,0.400081068
17,0.29155913
17,0.250454694
17,0.516584873
17,0.375317007
17,0.140526876
17,0.279079109
17,0.46247682
17,0.148743793
17,0.267351538
17,0.117579713
17,0.117714606
17,0.12882565
17,0.128841385
17,0.153718278
17,0.108177863
17,0.612482429
17,0.158363014
17,0.179420754
17,0.55306989
17,0.289192736
