,method,gamma,interv_gene,test_mse
244,DRIG,2,ENSG00000197780,0.27410711481132527
245,DRIG,2,ENSG00000083896,0.24338549141453078
246,DRIG,2,ENSG00000183479,0.4665175942995429
247,DRIG,2,ENSG00000197111,0.14640378816992872
248,DRIG,2,ENSG00000144034,0.5417680194196612
249,DRIG,2,ENSG00000268043,0.09387871972464601
250,anchor regression,2,ENSG00000205609,0.13151188731440244
251,anchor regression,2,ENSG00000205571,0.27067038162097906
252,anchor regression,2,ENSG00000100804,0.10270590509741241
253,anchor regression,2,ENSG00000204152,0.7152378087410897
254,anchor regression,2,ENSG00000168538,0.16699608813722122
255,anchor regression,2,ENSG00000197734,0.1305069476209189
256,anchor regression,2,ENSG00000152253,0.7419900962682414
257,anchor regression,2,ENSG00000106263,0.1741051198017284
258,anchor regression,2,ENSG00000120948,0.4601271913229642
259,anchor regression,2,ENSG00000169750,0.15156212938955813
260,anchor regression,2,ENSG00000119718,0.1126708719532807
261,anchor regression,2,ENSG00000105618,0.15695739200484812
262,anchor regression,2,ENSG00000145191,0.10478050938112896
263,anchor regression,2,ENSG00000072756,0.18635597941699994
264,anchor regression,2,ENSG00000070785,0.23552510971001547
265,anchor regression,2,ENSG00000160075,0.1131161267714995
266,anchor regression,2,ENSG00000075856,0.25077189574348746
267,anchor regression,2,ENSG00000131931,0.31957024773549714
268,anchor regression,2,ENSG00000174243,0.7574021866764402
269,anchor regression,2,ENSG00000117360,0.6752289250408152
270,anchor regression,2,ENSG00000100949,0.10166323362683956
271,anchor regression,2,ENSG00000175792,0.3386281753139568
272,anchor regression,2,ENSG00000181029,0.5366104658276992
273,anchor regression,2,ENSG00000146007,0.27907825940265
274,anchor regression,2,ENSG00000124207,0.23633885602221472
275,anchor regression,2,ENSG00000174780,0.39283116745082014
276,anchor regression,2,ENSG00000197265,0.11688865059429424
277,anchor regression,2,ENSG00000182446,0.18249642328886292
278,anchor regression,2,ENSG00000169727,0.10621676223889384
279,anchor regression,2,ENSG00000110713,0.30612343328006947
280,anchor regression,2,ENSG00000137955,0.7632524783558505
281,anchor regression,2,ENSG00000142731,0.6853149082769687
282,anchor regression,2,ENSG00000189091,0.11183773292979578
