lambda,test_crps
7.0,0.5004163146018982
7.0,0.4073698461055756
7.0,0.1848650485277176
7.0,0.3687827527523041
7.0,0.5057240515947342
7.0,0.2064010247588157
7.0,0.2698809593915939
7.0,0.2383905306458473
7.0,0.1976102337241173
7.0,0.2539069890975952
7.0,0.2039356380701065
7.0,0.2396425426006317
7.0,0.1960493043065071
7.0,0.2755176365375519
7.0,0.3441456258296966
7.0,0.5156561315059662
7.0,0.2624068409204483
7.0,0.2119363576173782
7.0,0.3119438290596008
7.0,0.5356579303741456
7.0,0.3597835421562195
7.0,0.4906479060649872
7.0,0.3653933525085449
7.0,0.1887575849890709
7.0,0.2582703024148941
7.0,0.2358324632048606
7.0,0.2952173620462417
7.0,0.2164959207177162
7.0,0.3006009459495544
7.0,0.209987735748291
7.0,0.302493491768837
8.0,0.177764093875885
8.0,0.2146337568759918
8.0,0.3220064997673034
8.0,0.2620170682668686
8.0,0.2666462570428848
8.0,0.225444583594799
8.0,0.2780428856611251
8.0,0.323704707622528
8.0,0.1986835956573486
8.0,0.4826338857412338
8.0,0.1992639541625976
8.0,0.2880349606275558
8.0,0.3832351863384247
8.0,0.2420566916465759
8.0,0.2976166635751724
8.0,0.1836171776056289
8.0,0.3879058539867401
8.0,0.497431942820549
8.0,0.2078053802251815
8.0,0.5059950023889541
8.0,0.4058736056089401
8.0,0.1813927873969078
8.0,0.3568935036659241
8.0,0.4983293712139129
8.0,0.2000132694840431
8.0,0.2733592003583908
8.0,0.2357663378119468
8.0,0.1902742147445678
8.0,0.2624609142541885
8.0,0.2044701606035232
8.0,0.2185867264866829
8.0,0.1954246148467064
8.0,0.2788062840700149
8.0,0.340138503909111
8.0,0.5247783780097961
8.0,0.2547214642167091
8.0,0.211252623796463
8.0,0.292066478729248
8.0,0.5317244946956634
8.0,0.3483762115240097
8.0,0.4680875927209854
8.0,0.3618760883808136
8.0,0.1972624152898788
8.0,0.2678807020187378
8.0,0.2556603074073791
8.0,0.2892996966838836
8.0,0.2216168820858001
8.0,0.3026694446802139
8.0,0.2119354397058487
8.0,0.3098754048347473
9.0,0.1936359167098999
9.0,0.2111824363470077
