,method,gamma,interv_gene,test_mse
310,DRIG,3,ENSG00000119718,0.381140951578236
311,DRIG,3,ENSG00000105618,0.3134497544176357
312,DRIG,3,ENSG00000145191,0.3391544293169964
313,DRIG,3,ENSG00000072756,0.450177295857111
314,DRIG,3,ENSG00000070785,0.12228764649110219
315,DRIG,3,ENSG00000160075,0.30858907028699045
316,DRIG,3,ENSG00000075856,0.5284460917537284
317,DRIG,3,ENSG00000131931,0.7395438252234352
318,DRIG,3,ENSG00000174243,0.11205171829784086
319,DRIG,3,ENSG00000117360,0.09538550470384358
320,DRIG,3,ENSG00000100949,0.14823927549041424
321,DRIG,3,ENSG00000175792,0.7162463476573729
322,DRIG,3,ENSG00000181029,0.22675368360364098
323,DRIG,3,ENSG00000146007,0.0942899532001917
324,DRIG,3,ENSG00000124207,0.7377729660963112
325,DRIG,3,ENSG00000174780,0.13236585782263582
326,DRIG,3,ENSG00000197265,0.5204605062927364
327,DRIG,3,ENSG00000182446,0.23957600779816304
328,DRIG,3,ENSG00000169727,0.18099857361646374
329,DRIG,3,ENSG00000110713,0.1589856837582327
330,DRIG,3,ENSG00000137955,0.2656108373817621
331,DRIG,3,ENSG00000142731,0.6844713112776971
332,DRIG,3,ENSG00000189091,0.4832963688626629
333,DRIG,3,ENSG00000111581,0.3256122815743048
334,DRIG,3,ENSG00000198952,0.13241350453580306
335,DRIG,3,ENSG00000156603,0.29710171415006853
336,DRIG,3,ENSG00000108424,0.30907430542581144
337,DRIG,3,ENSG00000105258,0.14768827083559471
338,DRIG,3,ENSG00000119414,0.11669455749989126
339,DRIG,3,ENSG00000163754,0.10504910881326339
340,DRIG,3,ENSG00000112118,0.10930827381300667
341,DRIG,3,ENSG00000113141,0.19067998835581598
342,DRIG,3,ENSG00000108064,0.3825160352450437
343,DRIG,3,ENSG00000198258,0.6546675079622679
344,DRIG,3,ENSG00000197780,0.10218736106993791
345,DRIG,3,ENSG00000083896,0.13301619297924025
346,DRIG,3,ENSG00000183479,0.693491590205388
347,DRIG,3,ENSG00000197111,0.16351619910268833
348,DRIG,3,ENSG00000144034,0.6670241400669376
349,DRIG,3,ENSG00000268043,0.2719106611714793
350,anchor regression,3,ENSG00000205609,0.17119110913746508
351,anchor regression,3,ENSG00000205571,0.1125016652579182
352,anchor regression,3,ENSG00000100804,0.2735534798188155
353,anchor regression,3,ENSG00000204152,0.46332949821665115
354,anchor regression,3,ENSG00000168538,0.22879722973245206
355,anchor regression,3,ENSG00000197734,0.11464113060628138
356,anchor regression,3,ENSG00000152253,0.38316173029000733
357,anchor regression,3,ENSG00000106263,0.10376452259206498
358,anchor regression,3,ENSG00000120948,0.17540325820922906
359,anchor regression,3,ENSG00000169750,0.23996160819569137
360,anchor regression,3,ENSG00000119718,0.3914721837538685
361,anchor regression,3,ENSG00000105618,0.3241015906485258
362,anchor regression,3,ENSG00000145191,0.3428387872844299
363,anchor regression,3,ENSG00000072756,0.4577946621794824
364,anchor regression,3,ENSG00000070785,0.12125652045980516
365,anchor regression,3,ENSG00000160075,0.3264425052506928
366,anchor regression,3,ENSG00000075856,0.5509933679657132
367,anchor regression,3,ENSG00000131931,0.7513056064958954
368,anchor regression,3,ENSG00000174243,0.11306300636373985
369,anchor regression,3,ENSG00000117360,0.09620388911468584
370,anchor regression,3,ENSG00000100949,0.15169027615450587
371,anchor regression,3,ENSG00000175792,0.7308831497281232
372,anchor regression,3,ENSG00000181029,0.22528516244225086
373,anchor regression,3,ENSG00000146007,0.09459696521312037
374,anchor regression,3,ENSG00000124207,0.7506781781164655
375,anchor regression,3,ENSG00000174780,0.13181321967329887
376,anchor regression,3,ENSG00000197265,0.5347315771418264
377,anchor regression,3,ENSG00000182446,0.23933925205400491
378,anchor regression,3,ENSG00000169727,0.18828001283751888
379,anchor regression,3,ENSG00000110713,0.15786175798423868
380,anchor regression,3,ENSG00000137955,0.2804033654032712
381,anchor regression,3,ENSG00000142731,0.6717830615346619
382,anchor regression,3,ENSG00000189091,0.4686601138198613
383,anchor regression,3,ENSG00000111581,0.3275173983200509
384,anchor regression,3,ENSG00000198952,0.13304920047388571
385,anchor regression,3,ENSG00000156603,0.2926219800864672
386,anchor regression,3,ENSG00000108424,0.32119704097793894
387,anchor regression,3,ENSG00000105258,0.14648633000567712
388,anchor regression,3,ENSG00000119414,0.11727028492688152
389,anchor regression,3,ENSG00000163754,0.10337607619046178
390,anchor regression,3,ENSG00000112118,0.10863207048570434
391,anchor regression,3,ENSG00000113141,0.18834850598914052
392,anchor regression,3,ENSG00000108064,0.3798807770121861
393,anchor regression,3,ENSG00000198258,0.6677675209213354
394,anchor regression,3,ENSG00000197780,0.10256302116100799
395,anchor regression,3,ENSG00000083896,0.13264984636574553
396,anchor regression,3,ENSG00000183479,0.7055528480856351
397,anchor regression,3,ENSG00000197111,0.16958024699468063
398,anchor regression,3,ENSG00000144034,0.6781783607992201
399,anchor regression,3,ENSG00000268043,0.27950367930347064
400,DRIG,4,ENSG00000205609,0.17055196210984527
401,DRIG,4,ENSG00000205571,0.11292314651783815
402,DRIG,4,ENSG00000100804,0.2793160494061892
403,DRIG,4,ENSG00000204152,0.4511213499576299
404,DRIG,4,ENSG00000168538,0.2215869843373272
405,DRIG,4,ENSG00000197734,0.1130611119655337
406,DRIG,4,ENSG00000152253,0.3699582813784303
407,DRIG,4,ENSG00000106263,0.10452460459609035
408,DRIG,4,ENSG00000120948,0.17607584694098594
409,DRIG,4,ENSG00000169750,0.23038621062120285
410,DRIG,4,ENSG00000119718,0.38078550497499264
411,DRIG,4,ENSG00000105618,0.3101666975279205
